batter,name,pa,k_pct,bb_pct,chase_pct,whiff_pct,barrel_pct,kmeans_label,gmm_label,dbscan_label,archetype
686948,Drake Baldwin,261,24.521072796934867,9.195402298850574,36.15819209039548,23.90438247011952,16.7,1,1,0,power
665750,Leody Taveras,261,24.521072796934867,9.578544061302685,30.350877192982452,23.36065573770492,4.1,0,0,0,contact
676609,José Caballero,260,21.53846153846154,6.153846153846154,34.709193245778614,23.725490196078432,3.3,0,0,0,contact
666969,Adolis García,259,32.432432432432435,8.108108108108109,29.776247848537004,31.364562118126276,9.3,1,1,0,power
702222,Justin Crawford,257,21.40077821011673,6.22568093385214,38.55421686746988,16.346153846153847,1.1,0,0,0,contact
669065,Kyle Stowers,257,31.1284046692607,8.949416342412452,33.52059925093633,33.980582524271846,11.0,1,1,0,power
669003,Garrett Mitchell,256,33.984375,12.109375,21.973929236499067,34.94505494505494,13.4,1,1,0,power
643217,Andrew Benintendi,255,25.098039215686278,7.450980392156863,32.27091633466136,26.4,10.5,1,1,0,power
663616,Trevor Larnach,255,17.647058823529413,10.980392156862743,30.74003795066413,25.176470588235293,6.8,0,1,0,contact
672724,Oswald Peraza,255,27.45098039215686,3.5294117647058822,37.84355179704017,26.02739726027397,8.2,1,1,0,power
668885,Austin Martin,254,17.716535433070867,12.20472440944882,18.700787401574804,17.974683544303797,2.3,0,0,0,contact
678554,Curtis Mead,253,18.57707509881423,10.67193675889328,25.44483985765125,15.227272727272728,11.0,0,1,0,contact
664983,Jake Mccarthy,250,17.6,5.6,34.08577878103837,19.444444444444443,5.2,0,0,0,contact
808959,Munetaka Murakami,246,32.520325203252035,16.260162601626018,21.901528013582343,38.93805309734513,20.7,1,1,-1,power
668901,Mark Vientos,245,24.081632653061224,4.489795918367347,37.33905579399141,30.595482546201232,9.8,1,1,0,power
682657,Angel Martínez,244,21.72131147540984,2.8688524590163933,43.69747899159664,16.330645161290324,7.9,0,1,0,contact
690993,Colt Keith,242,18.59504132231405,4.958677685950414,23.571428571428573,19.788918205804748,7.1,0,0,0,contact
656555,Rhys Hoskins,240,30.83333333333333,15.416666666666666,21.978021978021975,29.78723404255319,10.4,1,1,0,power
671976,Tristan Peters,237,18.14345991561181,7.172995780590718,35.730858468677496,18.442622950819672,4.6,0,0,0,contact
671732,Lawrence Butler,237,26.582278481012654,10.548523206751057,24.84472049689441,26.59090909090909,6.8,1,0,0,power
668709,Jj Bleday,236,19.06779661016949,13.559322033898304,22.77432712215321,24.0,9.7,1,1,0,power
668939,Adley Rutschman,236,14.40677966101695,10.169491525423728,25.858585858585855,13.15136476426799,8.5,0,1,0,contact
660670,Ronald Acuña,236,22.033898305084747,13.983050847457626,24.953789279112755,25.806451612903224,13.1,1,1,0,power
605170,Víctor Caratini,235,18.72340425531915,9.787234042553193,25.43478260869565,19.78319783197832,8.2,0,0,0,contact
694497,Evan Carter,235,23.829787234042552,12.340425531914894,19.50718685831622,24.75,6.8,1,0,0,power
663728,Cal Raleigh,235,31.06382978723404,12.340425531914894,36.28472222222222,29.41176470588235,11.3,1,1,0,power
663837,Matt Vierling,235,16.170212765957448,7.23404255319149,32.036613272311214,14.823529411764708,5.6,0,0,0,contact
660821,Jesús Sánchez,234,22.22222222222222,3.8461538461538463,39.6588486140725,22.77432712215321,10.8,1,1,0,power
682177,Daniel Schneemann,233,29.184549356223176,9.012875536480689,34.261241970021416,29.912663755458517,7.6,1,1,0,power
681393,Connor Norby,233,30.042918454935624,10.300429184549357,27.311827956989248,29.705215419501133,7.6,1,1,0,power
683953,Travis Bazzana,231,20.346320346320347,11.255411255411255,25.313807531380757,24.264705882352946,4.5,0,1,0,contact
691723,Coby Mayo,231,33.333333333333336,7.792207792207792,30.5668016194332,30.16241299303944,9.7,1,1,0,power
669357,Nolan Gorman,230,32.17391304347826,10.0,31.809145129224653,37.2093023255814,9.2,1,1,0,power
663886,Tyler Stephenson,230,25.217391304347824,11.73913043478261,20.88888888888889,24.444444444444443,11.1,1,1,0,power
680869,Zack Gelof,230,23.91304347826087,6.086956521739131,23.00242130750605,25.0,7.1,1,0,0,power
542303,Marcell Ozuna,230,29.565217391304348,8.695652173913043,25.74074074074074,29.38388625592417,8.7,1,1,0,power
502671,Paul Goldschmidt,229,20.524017467248907,7.423580786026201,34.40860215053763,22.398190045248867,11.7,1,1,0,power
691785,Marcelo Mayer,228,19.29824561403509,7.017543859649122,29.157175398633257,25.05966587112172,6.1,0,0,0,contact
670042,Luke Raley,227,32.158590308370044,5.286343612334802,33.54564755838641,39.24050632911393,17.0,1,1,0,power
672515,Gabriel Moreno,226,15.929203539823009,10.619469026548671,32.745098039215684,15.196078431372548,8.8,0,1,0,contact
683357,Owen Caissie,226,38.49557522123894,7.522123893805309,29.80392156862745,32.5,15.0,1,1,0,power
694192,Jackson Chourio,225,24.0,6.666666666666667,33.70288248337029,21.34292565947242,13.7,1,1,0,power
