batter,name,primary_slot,games_started,slot_share,g_slot1,g_slot2,g_slot3,g_slot4,g_slot5,g_slot6,g_slot7,g_slot8,g_slot9
656775,Cedric Mullins,6,65,0.3230769230769231,0,1,7,0,8,21,21,5,2
671976,Tristan Peters,8,65,0.4461538461538462,0,0,0,0,0,4,22,29,10
656811,Ryan O'Hearn,4,65,0.6923076923076923,0,4,1,45,15,0,0,0,0
800050,Chase Delauter,2,65,0.5076923076923077,0,33,27,0,5,0,0,0,0
686217,Sal Frelick,7,65,0.5538461538461539,6,0,0,0,1,11,36,11,0
624585,Jorge Soler,4,64,0.9375,3,1,0,60,0,0,0,0,0
666969,Adolis García,4,64,0.359375,0,1,2,23,7,15,4,12,0
683357,Owen Caissie,6,64,0.4375,0,1,1,0,3,28,20,11,0
689414,Liam Hicks,2,64,0.296875,14,19,3,15,9,2,0,2,0
514888,José Altuve,1,63,0.38095238095238093,24,1,12,6,20,0,0,0,0
664983,Jake Mccarthy,1,63,0.4603174603174603,29,0,0,0,0,7,6,8,13
671277,Luis García,2,63,0.8253968253968254,0,52,3,0,0,0,4,3,1
694212,Samuel Basallo,5,62,0.6935483870967742,0,0,0,13,43,5,1,0,0
665750,Leody Taveras,6,62,0.532258064516129,0,0,1,0,7,33,16,5,0
700932,Kyle Manzardo,4,62,0.7580645161290323,0,6,1,47,6,2,0,0,0
691723,Coby Mayo,8,61,0.4262295081967213,0,0,0,3,8,10,13,26,1
663616,Trevor Larnach,2,61,0.39344262295081966,16,24,8,1,6,2,4,0,0
665833,Oneil Cruz,1,61,0.6557377049180327,40,0,1,2,12,5,0,1,0
543807,George Springer,1,61,1.0,61,0,0,0,0,0,0,0,0
670764,Taylor Walls,9,61,0.7540983606557377,0,0,0,0,0,0,6,9,46
643217,Andrew Benintendi,3,61,0.3442622950819672,10,1,21,3,3,20,3,0,0
666152,David Hamilton,9,61,0.6557377049180327,0,0,0,0,0,0,2,19,40
669003,Garrett Mitchell,6,61,0.3114754098360656,6,3,0,3,12,19,16,2,0
545121,Ildemaro Vargas,5,61,0.36065573770491804,5,5,0,2,22,13,9,5,0
669065,Kyle Stowers,4,61,0.4098360655737705,0,11,22,25,2,1,0,0,0
681393,Connor Norby,7,60,0.26666666666666666,0,1,2,3,12,13,16,3,10
694497,Evan Carter,6,60,0.3,3,3,0,2,12,18,10,10,2
686948,Drake Baldwin,2,59,0.7288135593220338,12,43,0,1,2,1,0,0,0
592450,Aaron Judge,2,59,0.6101694915254238,0,36,23,0,0,0,0,0,0
592663,J. T. Realmuto,7,59,0.3559322033898305,0,0,0,0,3,20,21,15,0
691785,Marcelo Mayer,7,59,0.5084745762711864,0,0,0,0,0,9,30,15,5
803011,Sam Antonacci,1,59,0.6440677966101694,38,0,0,0,2,9,3,3,4
663886,Tyler Stephenson,8,59,0.4915254237288136,0,0,0,0,0,4,25,29,1
672724,Oswald Peraza,6,58,0.27586206896551724,0,0,0,6,9,16,12,4,11
660821,Jesús Sánchez,4,58,0.43103448275862066,0,7,4,25,5,11,6,0,0
686527,Dominic Canzone,7,58,0.41379310344827586,0,0,2,4,4,13,24,11,0
690993,Colt Keith,3,58,0.39655172413793105,12,3,23,1,2,10,5,2,0
686681,Michael Massey,8,57,0.38596491228070173,0,0,0,0,10,10,10,22,5
663757,Trent Grisham,1,57,0.7894736842105263,45,0,0,0,5,4,2,0,1
668901,Mark Vientos,4,57,0.43859649122807015,0,0,3,25,9,13,6,1,0
682177,Daniel Schneemann,6,57,0.3508771929824561,5,1,0,0,18,20,12,1,0
670042,Luke Raley,6,57,0.49122807017543857,2,0,0,3,20,28,4,0,0
682657,Angel Martínez,6,56,0.32142857142857145,9,11,0,0,4,18,10,2,2
605170,Víctor Caratini,6,56,0.4642857142857143,0,0,0,4,11,26,15,0,0
668885,Austin Martin,1,56,0.30357142857142855,17,11,8,1,9,5,2,1,2
701675,Nathan Church,7,55,0.6,0,0,0,0,0,2,33,6,14
808959,Munetaka Murakami,2,55,0.7454545454545455,0,41,11,2,0,1,0,0,0
680869,Zack Gelof,7,55,0.2909090909090909,4,0,0,0,4,13,16,12,6
677942,Blaze Alexander,9,55,0.7272727272727273,0,0,0,0,0,2,1,12,40
668709,Jj Bleday,2,55,0.4727272727272727,1,26,12,4,4,2,6,0,0
663728,Cal Raleigh,2,54,0.8333333333333334,0,45,1,4,2,2,0,0,0
666397,Edouard Julien,1,54,0.5370370370370371,29,0,0,0,0,2,6,3,14
687363,Victor Scott,9,54,1.0,0,0,0,0,0,0,0,0,54
542303,Marcell Ozuna,4,54,0.4444444444444444,0,0,0,24,14,13,3,0,0
656555,Rhys Hoskins,4,54,0.5,0,0,4,27,17,6,0,0,0
669357,Nolan Gorman,5,54,0.8148148148148148,0,0,1,2,44,0,4,3,0
690976,Alex Freeland,9,54,0.7777777777777778,0,0,0,0,0,1,1,10,42
609280,Miguel Andújar,6,54,0.25925925925925924,0,12,5,6,4,14,13,0,0
683953,Travis Bazzana,1,54,0.5185185185185185,28,2,0,1,8,7,7,1,0
553993,Eugenio Suárez,5,54,0.7037037037037037,0,0,0,6,38,10,0,0,0
668939,Adley Rutschman,3,54,0.8333333333333334,0,2,45,7,0,0,0,0,0
668904,Royce Lewis,8,53,0.24528301886792453,0,0,0,8,6,7,11,13,8
606192,Teoscar Hernández,5,53,0.2641509433962264,0,0,5,8,14,11,10,5,0
573262,Mike Yastrzemski,8,53,0.33962264150943394,0,0,0,1,11,4,12,18,7
663837,Matt Vierling,7,53,0.20754716981132076,7,8,7,4,6,3,11,5,2
681351,Logan O'Hoppe,8,53,0.7358490566037735,0,0,0,0,1,1,4,39,8
660670,Ronald Acuña,1,53,1.0,53,0,0,0,0,0,0,0,0
804606,Konnor Griffin,8,53,0.37735849056603776,5,4,0,0,3,10,11,20,0
672515,Gabriel Moreno,4,53,0.4339622641509434,0,0,11,23,1,3,10,5,0
656716,Zach Mckinstry,8,52,0.34615384615384615,1,0,1,0,1,10,14,18,7
663993,Nathaniel Lowe,5,52,0.40384615384615385,0,0,0,13,21,18,0,0,0
669224,Austin Wells,9,52,0.4807692307692308,0,0,0,0,0,0,15,12,25
687401,Joey Ortiz,9,52,0.7115384615384616,0,0,0,0,1,1,1,12,37
641857,Ryan Mcmahon,8,52,0.4423076923076923,0,0,0,0,0,7,11,23,11
664728,Kyle Isbel,9,52,1.0,0,0,0,0,0,0,0,0,52
681297,Colton Cowser,7,52,0.6538461538461539,0,0,0,3,1,6,34,7,1
672275,Patrick Bailey,8,51,0.6666666666666666,0,0,0,0,0,0,0,34,17
605141,Mookie Betts,4,51,0.5882352941176471,2,11,8,30,0,0,0,0,0
660688,Keibert Ruiz,9,51,0.6274509803921569,0,0,0,0,2,1,6,10,32
