batter,name,team,pa,avg,obp,p_1b,p_2b,p_3b,p_hr,p_bb,p_k,p_dp,p_out,p_sf,p_sh,sb_rate,cs_rate
701538,Jackson Merrill,San Diego,346,0.211,0.271,0.12427745664739884,0.04335260115606936,0.002890173410404624,0.023121387283236993,0.07514450867052025,0.24855491329479767,0.014450867052023121,0.4595375722543353,0.0,0.008670520231213872,0.2608695652173913,0.014492753623188406
661388,William Contreras,Milwaukee,345,0.296,0.362,0.2028985507246377,0.034782608695652174,0.0,0.02608695652173913,0.09855072463768111,0.13043478260869565,0.02608695652173913,0.46956521739130436,0.011594202898550725,0.0,0.009615384615384616,0.019230769230769232
691023,Jordan Walker,St. Louis,345,0.288,0.342,0.16521739130434782,0.0463768115942029,0.0,0.05217391304347826,0.0782608695652175,0.2608695652173913,0.017391304347826087,0.3739130434782609,0.005797101449275362,0.0,0.13095238095238096,0.047619047619047616
663656,Kyle Tucker,Los Angeles,344,0.239,0.343,0.1308139534883721,0.046511627906976744,0.005813953488372093,0.020348837209302327,0.13953488372093015,0.20930232558139536,0.0,0.438953488372093,0.00872093023255814,0.0,0.06451612903225806,0.0
670623,Isaac Paredes,Houston,344,0.25,0.346,0.13662790697674418,0.046511627906976744,0.0,0.03197674418604651,0.1308139534883721,0.15988372093023256,0.029069767441860465,0.4563953488372093,0.00872093023255814,0.0,0.0,0.0
672960,Kazuma Okamoto,Toronto,344,0.24,0.323,0.125,0.03197674418604651,0.0,0.055232558139534885,0.11046511627906974,0.31976744186046513,0.014534883720930232,0.3372093023255814,0.005813953488372093,0.0,0.0,0.0
701807,Carson Benge,New York,343,0.259,0.318,0.17201166180758018,0.03206997084548105,0.0058309037900874635,0.029154518950437316,0.07871720116618075,0.21865889212827988,0.0058309037900874635,0.4577259475218659,0.0,0.0,0.12790697674418605,0.023255813953488372
642715,Willy Adames,San Francisco,342,0.231,0.275,0.11403508771929824,0.05847953216374269,0.0029239766081871343,0.04093567251461988,0.05847953216374269,0.2777777777777778,0.005847953216374269,0.43859649122807015,0.0029239766081871343,0.0,0.01694915254237288,0.03389830508474576
575929,Willson Contreras,Boston,342,0.283,0.377,0.14327485380116958,0.04093567251461988,0.005847953216374269,0.05263157894736842,0.13450292397660812,0.2573099415204678,0.02046783625730994,0.3362573099415205,0.008771929824561403,0.0,0.021052631578947368,0.010526315789473684
681198,TJ Rumfield,Colorado,341,0.29,0.37,0.16129032258064516,0.05278592375366569,0.005865102639296188,0.03519061583577713,0.11436950146627567,0.1436950146627566,0.005865102639296188,0.4750733137829912,0.005865102639296188,0.0,0.0,0.0
521692,Salvador Perez,Kansas City,340,0.201,0.241,0.12941176470588237,0.029411764705882353,0.0,0.029411764705882353,0.05294117647058827,0.20294117647058824,0.03529411764705882,0.5088235294117647,0.011764705882352941,0.0,0.0,0.0
696100,Hunter Goodman,Colorado,340,0.243,0.306,0.10294117647058823,0.03823529411764706,0.0,0.07941176470588235,0.08529411764705885,0.32941176470588235,0.008823529411764706,0.35,0.0058823529411764705,0.0,0.078125,0.046875
669394,Jake Burger,Texas,340,0.25,0.315,0.14411764705882352,0.041176470588235294,0.0,0.041176470588235294,0.08823529411764708,0.25882352941176473,0.014705882352941176,0.40588235294117647,0.0058823529411764705,0.0,0.02531645569620253,0.0
663586,Austin Riley,Atlanta,340,0.207,0.285,0.12352941176470589,0.03529411764705882,0.0029411764705882353,0.023529411764705882,0.10000000000000009,0.2911764705882353,0.01764705882352941,0.4,0.0058823529411764705,0.0,0.05263157894736842,0.013157894736842105
680776,Jarren Duran,Boston,339,0.196,0.251,0.11209439528023599,0.02654867256637168,0.0058997050147492625,0.035398230088495575,0.07079646017699115,0.3008849557522124,0.0058997050147492625,0.4336283185840708,0.008849557522123894,0.0,0.1935483870967742,0.0
695657,Colson Montgomery,Chicago,338,0.221,0.311,0.08875739644970414,0.04437869822485207,0.0,0.0621301775147929,0.11538461538461542,0.31952662721893493,0.011834319526627219,0.35798816568047337,0.0,0.0,0.014492753623188406,0.014492753623188406
605137,Josh Bell,Minnesota,336,0.244,0.301,0.13690476190476192,0.050595238095238096,0.002976190476190476,0.03273809523809524,0.07738095238095233,0.21428571428571427,0.01488095238095238,0.4642857142857143,0.005952380952380952,0.0,0.013888888888888888,0.0
679529,Spencer Torkelson,Detroit,335,0.215,0.317,0.08955223880597014,0.05373134328358209,0.0,0.041791044776119404,0.1343283582089554,0.32238805970149254,0.01791044776119403,0.33432835820895523,0.005970149253731343,0.0,0.0,0.013513513513513514
